site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam110_210331,63.51613142,1.951436046,0.317637641,-0.183272335,0.925281901,0.765852511,2.499058652,0.897078521,0.976259483,0.959710693,0.008712506,1.490834258,0.396386039,0.045062758,0.59513657,0.369192433,0.051660902
s2lam110_210420,68.8169557,2.172366985,0.192290607,0.313617824,0.66817897,1.464006827,3.993100977,0.926414379,0.95950003,0.972278278,0.003876252,1.654642731,0.46331281,0.028358239,0.659939236,0.452127299,0.055671296
s2lam110_210507,62.00918664,2.173049606,0.169066978,0.158931685,0.713832213,1.224836093,3.420042649,0.930721746,0.98379282,0.968410968,0.005232681,1.089093072,0.464873972,0.05936587,0.620851391,0.334540724,0.058807596
s2lam110_210609,59.13110834,2.082055514,0.182118771,0.4706065,0.607655732,1.807701433,1.999011544,0.938838746,0.983581149,0.972077508,0.003994655,0.838430168,0.498587258,0.074439465,0.604451497,0.3806485,0.082750109
s2lam110_210624,57.29201518,2.215697758,0.084779139,0.529476661,0.600602338,2.031598077,1.158948245,0.939799211,0.98861129,0.973436325,0.004126703,1.408687595,0.384954471,0.124314194,0.602391098,0.398762231,0.128644142
s2lam111_200501,58.41700438,2.159434529,0.189534662,0.106569302,0.744525482,1.071826129,5.771888799,0.892502144,0.984680671,0.950697831,0.00720708,0.338322828,0.360533704,0.040350864,0.454742237,0.181571933,0.032680633
s2lam111_200506,58.0226629,2.172603393,0.173854118,-0.001812294,0.795818343,0.959437661,4.327023996,0.896311359,0.985901535,0.95282152,0.006531666,0.388794473,0.35157311,0.047679824,0.455418276,0.206429414,0.049826633
s2lam111_200514,58.53242631,2.188839521,0.167196158,-0.074897774,0.862489142,0.882356514,4.294580731,0.906603738,0.985905209,0.958213601,0.006480713,0.331997869,0.381190029,0.042112505,0.461165365,0.203763688,0.04156901
s2lam111_200610,57.53970917,2.22348733,0.138565919,-0.09338034,0.893399193,0.844293899,4.086583032,0.903354843,0.987495142,0.956135376,0.006625109,0.32336756,0.349684944,0.055462379,0.455577257,0.192217087,0.034895833
s2lam112_200623,58.11408276,1.877036142,0.290494142,0.153727674,0.754822188,1.177925871,3.031367174,0.916853801,0.980605162,0.958544421,1.86E-12,0.238956076,0.463183192,0.05781635,0.539928508,0.286026336,0.056917011
